Name of organization,Type of business,APF_ Design changes required in the product,APF_ Variety of products,APF_ Offline part programming preparation facility,APF_ Number of existing part families matching the new product design,APF_ Machine flexibility
Bharat Heavy Electricals LTD ,"Machine ,Tools",5.0,4.0,3.0,4.0,5.0
JPM Group,Automotive Parts,4.0,5.0,4.0,3.0,5.0
Unitech Group Ltd,Machanical Machine Manufacturer,5.0,4.0,5.0,4.0,5.0
Essar Steel,Steel Manufacturing,5.0,4.0,5.0,4.0,4.0
Machino Plastic Ltd,Auto Parts Manufacturer,4.0,5.0,4.0,4.0,5.0
Caparo Engineering Works LTD,Auto parts,5.0,4.0,3.0,4.0,4.0
Swastic Components PVT LTD,Auto parts,5.0,4.0,3.0,5.0,4.0
Boysen (I) Ltd,Auto parts,5.0,4.0,3.0,4.0,4.0
Sumi Motherson engineering Ltd,Auto parts,5.0,4.0,3.0,4.0,5.0
Minda corporation,Auto parts,5.0,4.0,5.0,4.0,5.0
Prabhishila engineering pvt ltd,Auto parts,4.0,5.0,4.0,5.0,4.0
PJB Auto Exim,Auto parts,5.0,4.0,3.0,4.0,4.0
Almighty Auto Ancillary Pvt Ltd,auto parts manufacturers,4.0,3.0,5.0,4.0,5.0
Amforge Industries Ltd,AUTO PARTS MANUFACTURING,4.0,4.0,3.0,5.0,4.0
Brakes Auto (India) Ltd,auto parts manufacturers,5.0,4.0,3.0,4.0,5.0
Auto crops,Auto Parts Manufecturer,5.0,5.0,5.0,3.0,3.0
Bharat Springs Pvt Ltd,Auto Parts Manufecturer,3.0,5.0,4.0,4.0,5.0
Hindustan Machinery,MachineÂ  parts,5.0,4.0,5.0,4.0,4.0
Almal Industries,"MachineÂ  parts,auto parts",3.0,4.0,4.0,3.0,5.0
Eta Engineering Pvt Ltd ,Engineering Machine ,5.0,3.0,4.0,5.0,4.0
Ursatan Engineering Pvt,manfacturing machine and engineering parts ,4.0,5.0,4.0,4.0,4.0
SB Engineering P LTD,Engineering machine &Parts,4.0,5.0,4.0,5.0,5.0
Sudhir Gensets Ltd,Generator & DG Sets,5.0,4.0,3.0,4.0,5.0
Intra Continental Engineering Corporatio...,Engineering Machine,4.0,3.0,5.0,3.0,5.0
Genext Technologies,"Engineering parts ,auto parts",4.0,5.0,5.0,4.0,5.0
La Gajjar Machineries PVT LT,Motor Pump,4.0,5.0,5.0,5.0,4.0
GKN driveline India Ltd.,Automobile Ancillary,4.0,4.0,4.0,4.0,4.0
GKN driveline India Ltd.,Manufacturing,5.0,5.0,3.0,4.0,4.0
"FET, MRUI",Teaching,4.0,3.0,4.0,2.0,4.0
,Average,4.165048543689321,4.184466019417476,4.106796116504855,4.12621359223301,4.330097087378641
,,,,,,
,Ranking,16.0,14.0,22.0,19.0,3.0
