Name of organization,Type of business,AMF_ Types of machine,AMF_ Maximum number of tools available,AMF_ Maximum number of operation available,AMF_ Tool magazine or tool turret capacity,AMF_ Tool changing time,AMF_ Type of operations to be done on machine,AMF_ Variety of parts to be handled by the machine,AMF_ Skills and versatility of workers,AMF_ Setup or changeover time
ranee polymers pvt ltd ,Auto parts,4.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0
premium moulding and prassing pvt ltd ,die moulding and auto mobile component,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0
Hero Motors Ltd,Motor Cfycle Manufacturer,4.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0
Musashi Auto Parts Pvt Ltd,Auto Parts Manufacturing,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0
Frontier Techno Pvt :Ltd,Cable Hoints Kits Manufacturer,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0
G.S.Lighting Pvt Ltd,Lighting Products Manufacturer,5.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0
Subros Ltd,Auto Parts Manufacturing,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
Anand Motor Products Pvt Ltd,Auto Parts Manufacturing,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0
M& M Auto Ltd,Automotive Componants & Springs Manufacturer,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0
Richo Ltd,Auto Parts Manufacturing,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0
Sun Stearing,Stearing Manufacturer,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0
Metal Craft India ltd,Secuity System Manufaturer,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0
Sailatha Industries,Enginnering Part Manufacturig,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0
LT Komatsu,Heavy Mechanical enginnering,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Honeywell Automation,Automobile Engineering,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
Golden Engineering Co.,Auto Parts Manufacturing,4.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0
Allied Spares Co.pvt.Ltd,Auto Parts Manufacturing,4.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0
Aakar Industries P ltd.,Engineering parts and machine manufacturing,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0
J.N Enterprises P ltd,"machine tools parts ,auto parts manufact",3.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0
Bright Brothers Ltd,Auto Machinery Parts,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0
Bharat Heavy Electricals LTD ,"Machine ,Tools",5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0
JPM Group,Automotive Parts,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0
Unitech Group Ltd,Machanical Machine Manufacturer,5.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0
Essar Steel,Steel Manufacturing,4.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0
Machino Plastic Ltd,Auto Parts Manufacturer,5.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0
Caparo Engineering Works LTD,Auto parts,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0
Swastic Components PVT LTD,Auto parts,3.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0
Boysen (I) Ltd,Auto parts,5.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0
Sumi Motherson engineering Ltd,Auto parts,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0
Minda corporation,Auto parts,4.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0
Prabhishila engineering pvt ltd,Auto parts,5.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0
PJB Auto Exim,Auto parts,3.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0
Almighty Auto Ancillary Pvt Ltd,auto parts manufacturers,3.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0
Amforge Industries Ltd,AUTO PARTS MANUFACTURING,4.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0
Brakes Auto (India) Ltd,auto parts manufacturers,3.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0
Auto crops,Auto Parts Manufecturer,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0
Bharat Springs Pvt Ltd,Auto Parts Manufecturer,5.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0
Hindustan Machinery,MachineÂ  parts,5.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0
Almal Industries,"MachineÂ  parts,auto parts",4.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0
Eta Engineering Pvt Ltd ,Engineering Machine ,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0
Ursatan Engineering Pvt,manfacturing machine and engineering parts ,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
SB Engineering P LTD,Engineering machine &Parts,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0
Sudhir Gensets Ltd,Generator & DG Sets,4.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0
Intra Continental Engineering Corporatio...,Engineering Machine,5.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0
Genext Technologies,"Engineering parts ,auto parts",4.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0
La Gajjar Machineries PVT LT,Motor Pump,5.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0
GKN driveline India Ltd.,Automobile Ancillary,4.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0
GKN driveline India Ltd.,Manufacturing,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0
"FET, MRUI",Teaching,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0
,Average,4.271844660194175,4.262135922330097,4.194174757281553,4.330097087378641,4.174757281553398,4.106796116504855,4.203883495145631,4.310679611650485,4.349514563106796
,,,,,,,,,,
,Ranking,6.0,7.0,11.0,2.0,15.0,21.0,9.0,5.0,1.0
